source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude,elevation
The Express Tribune,http://tribune.com.pk/story/690660/landslide-kkh-remains-blocked-for-third-consecutive-day/,5978,03/31/2014 03:00:00 PM,,Kohistan,"A heavy mass of earth and rocks fell on the KKH at two points near Pattan and Dasu, the headquarters of Kohistan on Monday afternoon, blocking the route leading to Gilgit-Baltistan (G-B). Locals who usually assist authorities in removing landslide debris said despite their efforts the heavy stones could not be moved and required the use of heavy machinery. According to police, rain has hampered all efforts to remove the debris, but the road is expected to be reopened soon. DSP Headquarters Shahnaz Khan said the authorities have been informed of the matter and machinery was likely to be moved to the affected parts of KKH by Wednesday evening or Thursday morning (today). After the landslide on Monday, traffic to and from G-B was suspended and long queues of trucks, passenger buses and cars formed along the highway. The blockage has also cut off remote mountainous areas of Kohistan from other parts of the country.",Kohistan,50km,landslide,rain,small,above_road,0.0,0.0,,,,glc,5978.0,Afghanistan,AF,Panjshir,65000.0,Bāzārak,3.70061,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,69.5546,35.3047,2463
news.in,http://news.in.msn.com/international/article.aspx?cp-documentid=5389286,3939,08/22/2011 12:00:00 AM,,Jajarkot,"Three members of a family, two of them children, were killed as a landslide swept away their house in a village in western Nepal.The landslide also swept away four other houses in the Jajarkot district of western Nepal, and an 18 month old child was also injured. (Date unclear)",Jajarkot,25km,landslide,downpour,medium,unknown,3.0,,,,,glc,3939.0,Nepal,NP,Mid Western,9073.0,Jumla,45.02017,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,82.1707,28.8687,1629
thaindian,http://www.thaindian.com/newsportal/enviornment/landslides-in-kozhikode-after-heavy-rain_100255752.html,1212,10/03/2009 12:00:00 AM,,"Balussery, Kozhikode, Kerala","Heavy rain lashing Kerala’s Kozhikode district for the past two days led to landslides at half a dozen places here Saturday. Revenue officials said that though there has been no loss of life, damage to crops and houses have been reported at places like Puthupady, Balussery and hilly areas where there is a large concentration of farmers.","Balussery, Kozhikode, Kerala",10km,landslide,downpour,medium,unknown,,,,,,glc,1212.0,India,IN,Kerala,24648.0,Naduvannūr,7.35169,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,75.8289,11.4477,20
Telegraph,http://www.telegraphindia.com/1150218/jsp/siliguri/story_3972.jsp#.VOUXUPnF98E,6782,09/28/2011 12:00:00 AM,,NH55 at Tindharia,"Before the Paglajhora stretch could be mended, two landslides - in September 2011 and July 2012 - washed away another section of NH55 at Tindharia, which is 10km from Paglajhora.",NH55 at Tindharia,exact,landslide,rain,medium,below_road,0.0,0.0,,http://dhrs.org/wpimages/wpd7e7f178_05_06.jpg,,glc,6782.0,India,IN,West Bengal,46427.0,Kārsiyāng,6.71494,02/18/2015 11:23:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.3372,26.8545,784
news.xinhuanet,http://news.xinhuanet.com/english/2008-09/22/content_10091705.htm,803,09/21/2008 12:00:00 AM,,Kailali,"landslides and flooding occurred throughout southwestern Nepal, difficult to differentiate landslides from flooding",Kailali,50km,landslide,downpour,medium,unknown,26.0,,,,,glc,803.0,Nepal,NP,Far Western,92294.0,Dhangarhi,32.75383,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.9,28.833,512
Rising Kashmir,http://www.risingkashmir.com/landslide-earth-sinking-in-bla/,6891,03/15/2015 12:00:00 AM,,Shirpora,"As a result of continuous rains and snowfall during the past few days several areas in Baramulla district including Larridora, Bandibala, Dodhbugh, Nilsar, Hajibal, Shirpora and others have witnessed landslides and earth sinking.",Shirpora,1km,landslide,continuous_rain,small,unknown,0.0,0.0,,,,glc,6891.0,India,IN,Kashmir,14965.0,Pattan,3.17259,04/03/2015 08:30:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.5594,34.1327,1615
kanglaonline,http://www.kanglaonline.com/index.php?template=headline&newsid=42473&typeid=2,594,06/19/2008 12:00:00 AM,,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",mudslide 30-40 feet long,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",25km,mudslide,monsoon,medium,unknown,,,,,,glc,594.0,India,IN,Manipur,223523.0,Imphal,18.23429,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.8275,24.9336,1027
geo,http://www.geo.tv/5-7-2010/64523.htm,1848,05/07/2010 08:00:00 AM,,"Kilyab village (Kulob or Kulyab), Tebalai River(?), mountains 220km (by road) southeast of Dushanbe, Khatlon","Mudslides in Tajikistan killed at least 13 people and left scores missing Friday as heavy downpours hit a remote region of the impoverished Central Asian State, an emergency official said.  The landslide destroyed 200 homes in the mountain village of Kilyab, some 220 kilometres (130 miles) south-east of the capital Dushanbe, emergency services spokesman Distmurod Zabirov told a foreign news agency.  ""Dozens of people are missing, mainly women and children who were mostly likely swept away by the mass of mud while they were sleeping"" in the early hours of Friday, he said.  River water later flooded lower parts of the stricken region, adding to the danger facing rescue workers, Zabirov added.  Mudslides strike every spring in the mountainous ex-Soviet states, with 19 people killed by landslides already this year.","Kilyab village (Kulob or Kulyab), Tebalai River(?), mountains 220km (by road) southeast of Dushanbe, Khatlon",10km,complex,downpour,large,unknown,21.0,,,,,glc,1848.0,Tajikistan,TJ,Khatlon,78786.0,Kŭlob,1.83411,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,69.8054,37.9148,668
ibnlive.in,http://ibnlive.in.com/generalnewsfeed/news/several-roads-blocked-due-to-landslides-in-uttarakhand/742517.html,3674,06/29/2011 12:00:00 AM,,Several roads in Uttarakhand,"Jun 29 (PTI) Several roads in Uttarakhand, including national highways leading to the shrines of Badrinath, Kedarnath and Gangotri, were blocked by landslides triggered by heavy rains stranding hundreds of pilgrims, official sources today said. Rishikesh-Badrinath national highway was blocked just two km away from Badrinath shrine following landslides caused by heavy rains, they said, adding hundreds of pilgrims were stranded in the area. Efforts are on to remove the debris from the road and personnel of Border Road Organisation (BRO) have been deployed to clear it and open the road for vehicular traffic. Rishikesh-Kedarnath national highway has also been blocked at Sirobagad due to landslides triggered by heavy rains. Meanwhile, traffic on Rishikesh-Gangotri national highway between Dharasu and Nalupani could not be resumed on the third consecutive day today as landslides continued to hit the area. Long queues of vehicles were seen on both sides of the road due to the landslides that ",Several roads in Uttarakhand,5km,landslide,downpour,large,unknown,10.0,,,,,glc,3674.0,India,IN,Uttarakhand,2571.0,Rudraprayāg,24.40704,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,79.0193,30.0667,2176
www.morungexpress.com,http://www.morungexpress.com/local/103875.html,5337,08/16/2013 12:00:00 AM,,"Yakshu, Nagaland","The Deputy Commissioner Mon, Angau I Thou, IAS accompanied by ADC Tobu, SDO Civil Mon, DPRO and DBs visited the major landslide area near Yakshu field, which occurred on August 16 last and cut off the Tobu area from the district Hq. The mudslide had damaged the Telangso Hydro Project Channel, resulting in non-functioning of the hydro project. The DC Mon interacted with the leaders of Tobu at Telangso Hydro Project rest house. She expressed her appreciation to the people of the area for taking the initiatives in bringing essential commodities through alternative route via Longleng district without any complaint. She also urged upon the people of the area to continue to extend their cooperation in maintaining peace and tranquility in the area for development. She also informed that road to Monyakshu headquarter is via Chen area and trucks carrying essential commodity are plying normally. On the inquiry of the DC, it was learnt that the road would be cleared only after retrieving the JCB ","Yakshu, Nagaland",5km,landslide,rain,medium,unknown,,,,,,glc,5337.0,India,IN,Nāgāland,33748.0,Tuensang,22.58609,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.9731,26.4205,690
DNA India,http://www.dnaindia.com/india/report-pune-landslide-toll-mounts-106-bodies-recovered-so-far-2007689,6186,07/30/2014 09:00:00 AM,,"Malin, Pune, Maharashtra","Lull in the rains is enabling NDRF jawans to clear the mud faster. There is little hope of finding more survivors. Rescue operations are to continue for two more days. At least 145 people are now confirmed dead in the tragedy amid fears that the toll may go up substantially, while around 100 trapped in a landslide near Bhimashankar in Pune district that took place on Wednesday. The landslide took place early in the morning in Malin village in Ambegaon tehsil of Pune due to heavy rainfall. The village is just 10 kilometres from Bhimashankar Jyotirling Temple in Ambegaon Taluka and 70 kilometres from Pune city. Rescue operations have started and many bodies have so far been extracted from under the debris by team of National Disaster Response Force. A 100 member team of the National Disaster Response Force (NDRF) has been rushed to the spot even as locals have begun efforts to save those trapped. ""We got the information about landslide at 10:45 am from Pune district collectorate and we ","Malin, Pune, Maharashtra",1km,mudslide,continuous_rain,large,deforested_slope,151.0,0.0,,http://blogs.agu.org/landslideblog/files/2014/07/14_07-Malin-2-e1406792435386.jpg,,glc,6186.0,India,IN,Maharashtra,25997.0,Junnar,20.34161,01/07/2015 10:03:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,73.6873,19.162,837
Himalayan Times,http://www.thehimalayantimes.com/fullNews.php?headline=Water+supply+cut+off+as+landslide+sweeps+source&NewsID=428238,6295,09/19/2014 12:00:00 AM,,Marauche Community Forest,Water supply has been cut off in three wards of Dhukurpokhari VDC in Kaski after a landslide swept away the water source on Friday.,Marauche Community Forest,5km,landslide,unknown,medium,unknown,0.0,0.0,,,,glc,6295.0,Nepal,NP,Western Region,200000.0,Pokhara,11.59781,10/21/2014 08:38:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,83.8521,28.285,1534
articles.timesofindia,http://articles.timesofindia.indiatimes.com/2011-08-06/guwahati/29861700_1_water-supply-drinking-water-landslides,3881,08/05/2011 12:00:00 AM,,Itanagar,"ITANAGAR: Heavy rainfall in the past 12 hours wrecked havoc in the Arunachal Pradesh capital with almost all major roads leading to the town being snapped off in many areas on the NH 52-A.  Rain induced landslides have cut off several places from the rest of the state, while many places within the capital complex near Karsingsa sinking zone, Lekhi village, A-sector Naharlagun and the Papunallah area have been severely affected by the calamity.  A bridge at Abotani Colony in Itanagar has been rendered unusable as siltation on the banks of the stream gave away. The onus for maintaining the bridge, which is frequented by VIPs, has fallen on the PWD as the urban department has expressed its inability to maintain the structure, official sources informed.",Itanagar,5km,landslide,downpour,medium,unknown,0.0,,,,,glc,3881.0,India,IN,Arunāchal Pradesh,26912.0,Naharlagun,0.67751,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.6885,27.1034,144
print.dailymirror,http://print.dailymirror.lk/news/news/35138.html,3101,02/07/2011 12:00:00 AM,,"Elahera Pallegama road, Matale district","Tuesday, 08 February 2011  Matale district had been badly hit by landslides and earthslips with 2,043 houses damaged while 564 houses have been completely destroyed.  Several places in the Kandy, Jaffna road had been damaged between Matale and Dambulla. In addition Ratota Riviston Road , Elahera Pallegama Road and fifteen other by-roads have been damaged  Some 35 families in Lunugala Divisional Secretariat in the Badulla District have been displaced because of earthslips.  Several areas including Galahitiyawa, Godaarawa, Sapugaswatte, and Kosgolla area in Lunugala have come under the earthslips affecting 35 houses.  In addition 93 families residing in Newburg estate were evacuated after landslide threat. ","Elahera Pallegama road, Matale district",25km,landslide,downpour,medium,unknown,0.0,,,,,glc,3101.0,Sri Lanka,LK,Central,66716.0,Dambulla,29.83936,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.8147,7.6447,165
indianexpress,http://www.indianexpress.com/news/landslides-cut-off-arunachal-districts-iaf-to-the-rescue/833599/,3925,08/15/2011 12:00:00 AM,,"East Kameng, Arunachal Pradesh","landslides triggered off by heavy rain cutting off road communication in several districts of Arunachal Pradesh The situation has been particularly cut off in the East Kameng district in western Arunachal Pradesh, where incessant rains have played havoc with people's lives, washing away roads and disrupting power supply","East Kameng, Arunachal Pradesh",50km,landslide,downpour,medium,unknown,0.0,,,,,glc,3925.0,India,IN,Arunāchal Pradesh,7121.0,Bomdila,63.47818,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.0153,27.4888,540
mrnewsbreaker,http://www.mrnewsbreaker.com/monsoon-rain-in-gilgit-baltistan-causes-landslides-kkh-closure-and-casualies/,2297,08/20/2010 12:00:00 AM,,"Ghizer, Gilgit-Baltistan","Heavy rain caused hundreds of foreigners in Gilgit Baltistan KKH to be stranded  Landslides in Ghizer, Hunza-Nagar, Astore and Baltistan blocked roads linking the districts with the rest of the country.  Haidri also said: there are no flights going out of Gilgit Balistan for more than seven days.  Sunday, August 22nd, 2010 at 3:45 pm. Uncertain date: 16 - 22nd","Ghizer, Gilgit-Baltistan",unknown,landslide,downpour,medium,unknown,0.0,,,,,glc,2297.0,Pakistan,PK,Gilgit-Baltistan,0.0,Gākuch,33.62719,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,73.4245,36.3044,3462
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-07-26/mumbai/40813862_1_kalyan-debris-kasara,5187,07/25/2013 01:30:00 AM,,"Malshej Ghat, Maharashtra","A landslide at MalshejGhat caused due to Thursday's downpour disrupted traffic on National Highway 222. Officials said the key motorway, which connects Kalyan to Nashik, will be cleared in two days. ""Given the terrain, our workers may be able to remove debris only by Saturday. Continuous rain has made our job difficult,"" said a public works department official. Motorists heading towards Nashik are being told to take the Kasara route, while Pune-bound traffic will be routed via Karjat. Following heavy rain, landslide at Malshej Ghat blocked National Highway 222 on Thursday early morning for 48 hours. Due to hills on the one side and deep valley another side the workers are finding it difficult to remove debris. The stones from the hills are so huge that it required it to cut in pieces to remove the debris and it may take 48 hours to complete it. Following the slide, Nashik-bound vehicles from Kalyan were diverted through Kasara. Those headed for Pune from Kalyan were asked to take the","Malshej Ghat, Maharashtra",5km,rock_fall,downpour,small,unknown,2.0,,,,,glc,5187.0,India,IN,Maharashtra,25997.0,Junnar,17.70621,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,73.7767,19.3379,663
Greater Kashmir,http://www.greaterkashmir.com/news/2015/Mar/16/landslide-hits-pulwama-village-minor-dies-in-house-collapse-37.asp,6867,03/15/2015 06:00:00 PM,,"Sonrigund Malangpora, Pulwama","""We had already warned the administration that the hill can be dangerous sometimes and it is a threat for the people but no action was taken. Now our prediction came true and we have lost a precious life and woman is in a critical state,"" residents told Greater Kashmir.","Sonrigund Malangpora, Pulwama",1km,landslide,continuous_rain,small,unknown,1.0,1.0,,,,glc,6867.0,India,IN,Kashmir,6807.0,Awantīpur,4.66935,03/27/2015 09:09:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.9781,33.8911,1638
kerals,http://www.kerals.com/kerala/landslides-2-killed-and-six-missing/,2654,10/27/2010 06:00:00 PM,,"Poochapra(?), near Thodupuzha, Kattappana, Kerala","KATTAPPAN: The bodies of two women who died in major landslides in the evening on Wednesday at Poochapra near Thodupuzha were recovered by night.  At least six persons are missing and a house was completely washed away.  The bodies of Parackal Ealikutty, 65 and Mary, 45 were recoverd while a vast area was still under water, reports from here said.  Lack of lighting arrangements hindered rescue operations as the area was cut off from the main road.  The earth removers were trapped on the road and could not reach the spot.  Four families severely affected by the incident were safely shifted to a nearby government school.  At least seven landslides occurred in the close vicinity of the area.  At least four houses were severely affected or washed away in the landslips, it is feared.  Two auto rickshaws also fell beneath the mud, though all occupants escaped without hurt.  ","Poochapra(?), near Thodupuzha, Kattappana, Kerala",25km,landslide,downpour,medium,unknown,2.0,,,,,glc,2654.0,India,IN,Kerala,8571.0,Lālam,18.41892,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,76.7705,9.8678,125
The Himalayan Times,http://www.thehimalayantimes.com/fullNews.php?headline=+Landslide+obstructs+road+&NewsID=418512,6063,06/17/2014 11:00:00 PM,,Dadeldhura,"The section of the KI Singh Highway from Dadeldhura to Dipayal has been obstructed by landslide triggered by rainfall. A landslide occurred near Rai in Dadeldhura district following incessant rainfall since last night obstructed the road. Dozens of vehicles and many passengers have been stranded due to the highway blockade. Police have been mobilised since Wednesday morning to remove the landslide debris and open the highway for vehicles, it is said.",Dadeldhura,25km,landslide,downpour,small,above_road,0.0,0.0,,,,glc,6063.0,Nepal,NP,Far Western,23416.0,Dipayal,17.49205,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,80.7651,29.2983,724
Hindustan Times,http://www.hindustantimes.com/india/20-dead-several-houses-swept-away-in-manipur-landslide/story-KoP6OouFBWhqxSdcnLrXJN.html,7383,08/01/2015 12:00:00 AM,,"Tuitung village, Khengjoi","Several houses of Hollenjang, Wayang and Tuitung village under Khengjoi were also swept away by the landslide. The total number of casualties from these areas, if any, are not known so far.","Tuitung village, Khengjoi",5km,landslide,rain,medium,unknown,0.0,0.0,,,,glc,7383.0,India,IN,Manipur,44540.0,Mawlaik,38.95051,12/14/2015 08:53:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.1434,23.899,259
alertnet,http://www.alertnet.org/thenews/fromthefield/222031/128136284695.htm,2209,08/06/2010 12:30:00 AM,,"Phyang village, Leh, Ladakh, Jammu and Kashmir","On the night of 5th and 6th August 2010, between 00:00 hrs and 00:30 hrs, intensive rainfall followed by massive cloudburst in high altitude terrain of Leh (3505m), triggered numerous debris flows, mud flows (earth spreads) and sand flows. These widespread, composite flows in the over saturated slope forming materials caused 182 deaths including that of 3 foreign tourists, damaged 607 houses, breached all major communication networks to Leh town besides inflicting an unaccountable loss of livestock and agriculture fields. The disaster caused severe damage to the settlements in parts of Leh town, Sabu village, Choklamsar, Leh airport area, Nimu, Ney and Bazgo area around the town. Widespread occurrence of varied, unconsolidated Quaternary drift deposits perched over gentle to fairly steep slopes are susceptible to mass movement under conditions of heavy saturation.   Unprecedented rainfall of the order of 240 mm within 24 hours on account of cloud bursts in the Leh region during 4-6 Aug","Phyang village, Leh, Ladakh, Jammu and Kashmir",5km,landslide,downpour,large,unknown,0.0,,,,,glc,2209.0,India,IN,Kashmir,37475.0,Leh,8.31461,09/16/2014 02:04:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.5101,34.208,3787
Medair,http://www.medair.org/en/infochanel/news/detail/article/flash_floods_landslides_destroy_homes_in_remote_afghanistan/?no_cache=1&cHash=5aa037ab4d,1885,05/21/2010 12:00:00 AM,,"Yawan Town, Badakhshan Province","However, another disaster was still to come in Yawan. Three days after the team arrived in the area, a huge landslide destroyed half of the town centre and a nearby village, and left Medair’s base standing at the top of a 50-metre cliff.  As a result, once this flooding season passes, Yawan will require significant repairs to its infrastructure, including the irrigation canal and the road to the Yawan bazaar. In the meantime, Medair will continue to provide support for the immediate emergency needs of the affected population. ","Yawan Town, Badakhshan Province",50km,landslide,downpour,large,unknown,,,,,,glc,1885.0,Afghanistan,AF,Badakhshan,0.0,Zīrakī,2.73125,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,70.42777802,37.55914605,1569
thaindian,http://www.thaindian.com/newsportal/enviornment/landslide-blocks-hindustan-tibet-road_10056629.html,568,06/03/2008 12:00:00 AM,,Hindustan-Tibet National Highway near Matiana village,"occurred in evening, showers hampered clean up efforts",Hindustan-Tibet National Highway near Matiana village,25km,landslide,rain,medium,unknown,,,,,,glc,568.0,India,IN,Himachal Pradesh,1630.0,Seoni,7.79832,09/11/2014 05:48:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.193,31.2077,864
The Times Of India India,http://timesofindia.indiatimes.com/india/Melting-snow-triggers-landslides-in-Kullu/articleshow/30256340.cms#http://timesofindia.indiatimes.com/india/Melting-snow-triggers-landslides-in-Kullu/articleshow/30256340.cms,5864,02/12/2014 12:00:00 AM,,"Siund - Neuli Rd, Neuli Shanshar, Himachal Pradesh 175123","MANALI: The incessant moisture in soil due to melting of snow has triggered landslides in Kullu district, washing away roads and terraced fields. In upper Kullu areas, which are still under white blanket of snow, many apple growers are reporting that snowfall and access moisture has caused damage to trees. ","Siund - Neuli Rd, Neuli Shanshar, Himachal Pradesh 175123",10km,landslide,snowfall_snowmelt,large,unknown,0.0,0.0,,,,glc,5864.0,India,IN,Himachal Pradesh,1351.0,Banjār,23.97283,08/24/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.4702,31.8246,3707
Eastern Mirror,http://www.easternmirrornagaland.com/landslide-hampers-nh-102-traffic-restored/,8900,07/07/2016 12:00:00 AM,,"Imphal-Ukhrul sector of National Highway 102, Manipur, India","Estimated Date. Heavy landslide along the busy Imphal-Ukhrul sector of the National Highway 102 hampered vehicular traffic along the route forcing passenger buses to stop normal services since the last four days.  However smaller-sized vehicles such as cars, vans and gypsies managed to cross the landslide-hit Finch Corner area, 65 km north of Imphal only after the Border Road Task Force (BRTF) machinery cleared the area this afternoon, reports from Ukhrul said.  Earlier in the morning, most of the residents of Ukhrul district who usually takes 2-3 hours, took 6 hours to reach Imphal town by exchanging their vehicles at the two ends of the landslide-hit Finch corner area, according to a resident.  The picturesque Finch Corner areas witnessed heavy landslide measuring around 150 metres following continuous rain in the areas since the last few days.  Sources reaching here said that the BRTF personnel were currently taking all out efforts to restore normal traffic along the highway.","Imphal-Ukhrul sector of National Highway 102, Manipur, India",25km,landslide,monsoon,large,above_road,0.0,0.0,,,,glc,8900.0,India,IN,Manipur,223523.0,Imphal,43.61406,07/11/2016 07:51:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,94.3136,25.0118,1391
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=8657,1086,08/14/2009 06:00:00 PM,,Darling VDC of Gulmi district,"Nine families were displaced after landslide triggered by incessant rainfall swept away their houses in Darling VDC of Gulmi on Friday evening. Police said they have not yet ascertained the amount of damage caused by the landslide as the police were yet to reach the site till Saturday afternoon. Landslide swept away the houses of Mandhwaj Khatri, Kaman Singh Khatri, Damodar Khatri, Dhan Bahadur Khatri, Harikrishna Shreesh and Drona Bahadur Shreesh, the police said.",Darling VDC of Gulmi district,10km,landslide,downpour,medium,unknown,0.0,,,,,glc,1086.0,Nepal,NP,Mid Western,0.0,Pyūthān,34.03805,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,83.1792,28.25,1765
India Express,http://indianexpress.com/article/india/india-news-india/four-people-including-5-year-old-killed-in-landslide-enroute-to-vaishnodevi-2957233/,9447,08/05/2016 12:00:00 AM,,"Banganga-Ardhkuwari road, enroute to he cave shrine of Mata Vaishnodevi in Jammu and Kashmir’s Reasi district",Four persons including three pilgrims were killed and nine injured in a landslide triggered by heavy rains enroute to the cave shrine of Mata Vaishnodevi in Jammu and Kashmir’s Reasi district.,"Banganga-Ardhkuwari road, enroute to he cave shrine of Mata Vaishnodevi in Jammu and Kashmir’s Reasi district",5km,landslide,downpour,medium,above_road,5.0,8.0,,http://i1.wp.com/thenorthlines.com/wp-content/uploads/2016/08/land-slide1.jpg?resize=696%2C392,,glc,9447.0,India,IN,Kashmir,9106.0,Katra,0.16613,08/19/2016 10:16:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,74.9455,33.0068,1335
eKantipur,http://www.ekantipur.com/2014/08/14/top-story/landslide-disrupts-vehicular-movement-along-hetauda-kulekhani-road/393587.html,6512,08/14/2014 03:00:00 PM,,Madevdanda of Sisneri,Traffic along the Hetauda-Kulekhai road section has been disrupted after landslide debris blocked the road at Madevdanda of Sisneri since this afternoon.,Madevdanda of Sisneri,10km,landslide,unknown,medium,above_road,0.0,0.0,,,,glc,6512.0,Nepal,NP,Central Region,44632.0,Kirtipur,16.98008,12/15/2014 10:42:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,85.1509,27.5742,1775
articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-02-20/guwahati/37199432_1_fire-mishap-east-siang-massive-landslide,4757,02/18/2013 12:00:00 AM,,"East Siang, Arunachal Pradesh","At least three persons died on the spot while two were seriously injured in a massive landslide that occurred in East Siang district.The accident occurred at 20 mile, which is 38 km from Pasighat town in East Siang district on Monday, sources said here on Tuesday.","East Siang, Arunachal Pradesh",5km,landslide,rain,medium,unknown,3.0,2.0,,,,glc,4757.0,India,IN,Arunāchal Pradesh,25581.0,Pāsighāt,16.99553,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,95.1645,28.1193,777
timesofindia.indiatimes,http://timesofindia.indiatimes.com/india/Seasons-1st-snowfall-at-Rohtang-Pass/articleshow/6550128.cms,2427,09/13/2010 11:00:00 PM,,"near Rahni Nullah(?), on Manali-Rohtang hwy, Himachal Pradesh","MANALI: Rohtang Pass, situated at 13,050 feet above sea level in Manali, received the season's first snowfall on Monday. Heavy rains and landslide blocked Manali-Rohtang highway leaving at least 40 vehicles stranded.  According to Border Road Organization (BRO) sources, Rohtang Pass received about 5 cm fresh snowfall while Baralacha La and its adjacent peaks had 9-10 cm fresh snow. The snowfall has attracted tourists who headed to Rohtang pass. But they had to return as Manali-Rohtang highway was blocked near Rahni Nullah due to a landslide following heavy rains last night.","near Rahni Nullah(?), on Manali-Rohtang hwy, Himachal Pradesh",10km,landslide,downpour,medium,unknown,0.0,,,,,glc,2427.0,India,IN,Himachal Pradesh,8341.0,Manāli,7.2745,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,77.2195,32.3109,3387
myrepublica,http://www.myrepublica.com/portal/index.php?action=news_details&news_id=42789,4579,10/01/2012 12:00:00 AM,,"Mechi Highway, Kolbung VDC,Ilam ","At least six people were killed and eight are missing when a massive landslide buried five vehicles along the Mechi Highway in Kolbung VDC of Ilam district Sunday night.  Only one of the six bodies recovered from the landslide was identified as that of Sharan Pradhan, a resident of Fikkal bazaar in Ilam district, while the five bodies remained unidentified till Monday evening, according to DSP Police Bishnu KC, chief of District Police Office of Ilam. ","Mechi Highway, Kolbung VDC,Ilam ",5km,landslide,downpour,large,unknown,11.0,,,,,test,4579.0,Nepal,NP,Eastern Region,10109.0,Mirik,16.91398,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,88.0499,26.8016,839
E-PAO,http://e-pao.net/GP.asp?src=26..120815.aug15,7666,08/11/2015 12:00:00 AM,,Tousem,"In a press statement, ZB-AMN General Secretary Dr Gairiangmei Maringmei said due to recent incessant rain, several areas of the Zeliangrong region have experienced landslides.",Tousem,5km,landslide,continuous_rain,medium,unknown,0.0,0.0,,,,glc,7666.0,India,IN,Manipur,7176.0,Mahur,27.66664,04/28/2016 09:01:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,93.3729,25.1019,1140
